file,cycle_idx,Pulse Interval,Time to Peak (TTP),Systolic Peak,Diastolic Peak Time,Diastolic Peak,Notch Time,Dicrotic Notch Depth,Systolic Area,Diastolic Area,Area Under Curve,Reflection Index (RI),Stiffness Index (SI),Fall Time,Inflection Point Index,Volume,Systolic Volume Index,Diastolic Volume Index
s7no_pmf_cycles_rows_features,1,87,19,0.93243220262255611,45,0.55659154863019489,38.923717310650623,0.55837668512801486,22.14469204580984,14.619708933561334,37.187227983453852,0.60237562777957809,24.748262143138199,66,73.590062519127358,34.506470338111278,21.031237407912602,8.4917595456606367
s7no_pmf_cycles_rows_features,2,88,21.507279324968298,0.88155085330433136,46.2555414681065,0.54699065393027135,38.923717310650623,0.61026869613580159,22.695506511216518,12.440537371962392,34.724103638465209,0.61619602355118752,24.748262143138199,66,47.5,31.127073630554779,19.803135833637622,6.863705795569957
s7no_pmf_cycles_rows_features,3,90,19,0.8946834888943801,45,0.53883604536226026,38.923717310650623,0.55486772487882652,21.414747512871376,13.191938960189356,34.652162690027325,0.59509317136004392,24.748262143138199,69,46.5,31.536014194524075,19.348917067823859,7.1735297705907239
s7no_pmf_cycles_rows_features,4,82.429808070650992,19,0.88540128202474333,45,0.51049586581290918,38.923717310650623,0.53288958961278965,21.841687699265137,12.283552441905291,34.170709748267612,0.57010199342229839,24.748262143138199,61.945000655795056,72.590062519127358,30.762873739888921,19.531059449485703,6.3020358782047667
s7no_pmf_cycles_rows_features,5,87,18,0.89413482323262328,44,0.5703287584495762,38.923717310650623,0.56892863778216196,21.86072254992002,14.489837785615746,36.773536211454918,0.62737462690179646,24.748262143138199,67,45.5,33.052254001522392,19.746372566146206,8.5455793874348043
s7no_pmf_cycles_rows_features,6,77.429808070650992,19,0.88950028764050648,45,0.56998602895795147,37.02886616595783,0.59985920824314287,21.120821377372106,14.099751509656022,35.194184915488833,0.63020728605315635,24.748262143138199,56.945000655795056,46.5,31.844250775206259,18.965099169413815,8.3138889726189529
s7no_pmf_cycles_rows_features,7,79.429808070650992,18,0.89194563037444852,44,0.53515732288685336,37.02886616595783,0.5379483349027917,21.527960564801447,13.317796274016439,34.890921097224165,0.59288211667173574,24.748262143138199,59.945000655795056,45.5,31.655959928991027,19.391812848387715,7.1918388001104434
s7no_pmf_cycles_rows_features,8,87,19,0.90615450740282832,45,0.57200020302031485,38.923717310650623,0.60613484012821794,23.135935511809631,14.363151966079796,37.464684069796313,0.62100055960092937,24.748262143138199,66,78.590062519127358,34.511198719116713,21.37581761013978,8.4970056112610255
s7no_pmf_cycles_rows_features,9,79.429808070650992,18,0.92725208144051385,44,0.53656271694436874,38.923717310650623,0.54324258028118977,21.719813512769587,13.147191039193334,34.912156687657102,0.58428133562134243,24.748262143138199,59.945000655795056,71.590062519127358,32.245068285721658,19.920569350389972,7.1172586816569892
s7no_pmf_cycles_rows_features,10,86,18,0.89211792479125529,44,0.53993579829363481,38,0.53863686280727352,21.022712250857584,13.555246122861035,34.623124819384117,0.59798271636267819,24.748262143138199,66,72.590062519127358,31.416777691104638,18.932585826659174,7.3907455293333442
s7no_pmf_cycles_rows_features,11,86,18,0.93637515302882668,44,0.52971613993928124,38.923717310650623,0.54108845977972397,22.124726279539747,12.612293584185368,34.782160016253279,0.57126028440507859,24.748262143138199,66,72.590062519127358,32.454456718018292,21.102955545532058,6.7306821875548177
s7no_pmf_cycles_rows_features,12,88,19,0.86484503217227937,44,0.54588225947808178,37.02886616595783,0.5465522554680704,21.207411358900895,14.333545713220149,35.514667299659735,0.6266226671721925,23.748262143138199,67,72.590062519127358,31.225770729363173,18.501392127346286,8.1678463482748089
s7no_pmf_cycles_rows_features,13,79.429808070650992,19,0.95734778021699685,45,0.57934142535925459,38.923717310650623,0.61750095133656657,22.921863636078939,14.070604708322657,36.957900811467333,0.60474360719271936,24.748262143138199,58.945000655795056,72.590062519127358,35.237308694572249,21.910986585095706,8.4343424423986306
s7no_pmf_cycles_rows_features,14,77.429808070650992,20.507279324968298,0.9332770668402447,45,0.57918731769196219,38.923717310650623,0.62546982054142308,22.685958370709656,13.332118800651562,35.605983552704444,0.62366787437965265,24.748262143138199,56.945000655795056,73.590062519127358,33.11499373690647,21.129460788936054,7.7433186413270203
s7no_pmf_cycles_rows_features,15,86,18,0.9427062782077521,45,0.53486986656554036,37.02886616595783,0.55131826377474669,22.066368937960174,14.191722854371466,36.231699218058694,0.57282556949297836,27,66,72.590062519127358,34.419003175946308,21.192865277535748,7.6297550261130045
s7no_pmf_cycles_rows_features,16,81.429808070650992,18,0.93327450719444094,44,0.57663127169863793,37.02886616595783,0.60001956012679658,22.120243297972717,14.225037531952722,36.318882744707814,0.62094473125326655,24.748262143138199,61.945000655795056,74.590062519127358,34.145380327593841,21.027638101422696,8.4852472402338943
s7no_pmf_cycles_rows_features,17,82.429808070650992,20.507279324968298,0.92701406767188632,45,0.5527610283828237,37.02886616595783,0.59644612291692511,21.571564601833995,12.389365132464754,34.006364266881235,0.60181690184292358,24.748262143138199,61.945000655795056,81.590062519127358,31.392408335863617,19.777070613556585,6.9103454221648448
s7no_pmf_cycles_rows_features,18,88,20.507279324968298,0.90105147330804014,45,0.58372758255037094,38.923717310650623,0.60936814002983497,22.979821318184143,14.898924018211956,37.844341928302988,0.63712514521099695,24.748262143138199,67,77.590062519127358,34.666267516175878,21.11147624414987,8.9911185062835965
s7no_pmf_cycles_rows_features,19,88,18,0.92662597392262225,45,0.53148894087204046,38.923717310650623,0.54970381874829932,21.916011382843497,13.265403789960509,35.22658474707621,0.57923234799446255,27,68,74.590062519127358,32.515159500878646,20.089201725574497,7.1117886042703438
s7no_pmf_cycles_rows_features,20,80.429808070650992,20.507279324968298,0.94307995511368103,45,0.58366240741300612,38.923717310650623,0.61742375300252483,23.954599942437703,13.984605936766636,37.904802471111218,0.62188563146408038,24.748262143138199,59.945000655795056,73.590062519127358,35.593242604162967,22.557791114461459,8.4466798262822032
s7no_pmf_cycles_rows_features,21,90,20.507279324968298,0.8618152876062859,46.2555414681065,0.56875344088899626,37.02886616595783,0.6072768802852998,21.639375892150397,14.300669593251756,35.913755712940841,0.64866498504994807,27,69,48.5,31.467460696235609,18.817504451628544,8.4121740088431274
s7no_pmf_cycles_rows_features,22,80.429808070650992,18,0.95605039235969624,45,0.542436273016902,38.923717310650623,0.55722941416309846,22.808668453094551,14.040214067698761,36.814692441606013,0.57262666151575259,27,60.945000655795056,45.5,35.050463549735767,21.772029941371294,7.6571804392887515
s7no_pmf_cycles_rows_features,23,86,18,0.95358342663497508,44,0.5669748917748838,38.923717310650623,0.56327217556362918,22.802335764379848,14.637426031183141,37.405235679592323,0.59424855279241695,24.748262143138199,66,44.5,35.523124478685403,21.708822709986745,8.5801804593150539
s7no_pmf_cycles_rows_features,24,82.429808070650992,20.507279324968298,0.96318812390847908,45,0.51586583300589317,39.894851144692794,0.52107481071126094,21.912144327312834,11.778367769634862,33.736008298096777,0.54089138647891299,24.748262143138199,61.945000655795056,60.5,32.413314677120965,21.512130413888269,6.103017731643579
s7no_pmf_cycles_rows_features,25,82.429808070650992,20.507279324968298,0.94251510221770329,44,0.58979956117851384,38.923717310650623,0.62191798273553289,23.617773786379313,14.806768594534168,38.390138972820374,0.62873819198653635,23.748262143138199,61.945000655795056,56.5,36.031019894438415,22.224989815964687,9.0299729559932445
s7no_pmf_cycles_rows_features,26,86,18,0.89002422157232208,45,0.50201762082985035,37.02886616595783,0.51512482025857642,21.463784659302057,12.441927246758423,33.951002073522588,0.55790523224391841,27,66,73.590062519127358,30.726637219335974,19.290207822054754,6.2741138265437435
s7no_pmf_cycles_rows_features,27,79.429808070650992,20.507279324968298,0.93797901402800832,44,0.56794904142905422,38.923717310650623,0.59843084960840898,21.874896426312585,13.433713661107038,35.353756213921599,0.60525885077115671,23.748262143138199,58.945000655795056,77.590062519127358,33.05144126648522,20.308448876743039,7.6445730360016402
s7no_pmf_cycles_rows_features,28,89,18,0.94601010790956386,45,0.54129219833273901,36.057732331915666,0.55775197658880482,22.841333008894541,13.986754860978438,36.79387419462293,0.57756026871758914,27,69,72.590062519127358,34.650990848337088,21.5705402731883,7.6106259009786932
s7no_pmf_cycles_rows_features,29,80.429808070650992,20.507279324968298,0.97355366940174226,44,0.58362073607172849,38.923717310650623,0.61671982689856475,22.983233654718322,12.383659772114884,34.954835630667759,0.5989590875413926,23.748262143138199,59.945000655795056,46.5,34.332195970515436,22.348211214501521,7.2417841485225356
s7no_pmf_cycles_rows_features,30,91,18,0.86713223443256215,45,0.53225991057713906,38.923717310650623,0.54757538333005984,21.733121363785433,14.595665518862504,36.302497110186636,0.60637036039627834,27,71,45.5,32.012702311711628,19.020444461605283,7.8125551646282823
s7no_pmf_cycles_rows_features,31,86,18,0.96368348425575145,45,0.54543870041804099,37.02886616595783,0.55386058251897663,22.811050321074518,14.12791221377379,36.904446240497762,0.57114646306718087,27,66,72.590062519127358,35.426035874143253,21.951129403349753,7.7504100120250783
s7no_pmf_cycles_rows_features,32,80.429808070650992,20.507279324968298,0.89953677653858388,45,0.50114401121297281,38.923717310650623,0.51667743147957113,21.201837570995416,11.414646438032925,32.661957293501565,0.55112808193162177,24.748262143138199,59.945000655795056,45.5,29.872378479838062,19.260061645562658,5.731453831073134
s7no_pmf_cycles_rows_features,33,78.429808070650992,18,0.93106264755495305,44,0.5687386138382251,37.02886616595783,0.59939979048439085,23.03496539935696,13.284162604055822,35.90739427793126,0.61063873132675761,24.748262143138199,58.945000655795056,76.590062519127358,33.315007032254208,21.405056638286769,7.5690668340790452
